LeadID,CampaignID,FirstName,LastName,Email,PhoneNumber,LeadSource,Status
757664,844163,Nicole,Gonzalez,christophercurtis@example.net,(708)867-3699x47449,Email Campaign,Contacted
436244,163261,Travis,Knight,kvalentine@example.com,3889277123,Social Media,New
108512,913927,Matthew,Wilson,normansarah@example.net,323.284.5686x5602,Social Media,Converted
486413,982666,Michael,Lozano,lindsaysanders@example.com,352-579-1267x9429,Direct Mail,Closed
243055,663906,Joshua,Gilbert,robertlewis@example.com,+1-786-373-9023x5337,Email Campaign,Closed
577446,558948,Miguel,Davis,felicia37@example.net,755-496-9770x3326,Referral,Contacted
472995,603188,Elizabeth,Rodriguez,jodydaniels@example.org,474-595-2573,Referral,Closed
648636,840662,Corey,Martinez,connortaylor@example.com,+1-246-800-0325x61069,Referral,Closed
345240,474155,Nathan,Jimenez,marcritter@example.net,429-270-1302x0904,Referral,New
771233,329409,Katie,Mcclain,millerdaniel@example.com,+1-448-356-9398x09237,Direct Mail,Qualified
488461,989027,Chad,Jones,perrychristopher@example.net,001-206-275-7606,Social Media,Qualified
363511,324848,Richard,Sampson,fitzgeraldamy@example.com,(542)465-4636,Direct Mail,Closed
207333,803421,Mark,Barnett,webstermatthew@example.net,001-796-732-0132x18964,Direct Mail,Qualified
408705,581779,Carol,Torres,heidi50@example.net,599-208-0742x336,Social Media,Qualified
148008,915697,Mark,Roberson,taylorbruce@example.net,836-359-5026x528,Direct Mail,Qualified
642272,437456,Alec,Mcmillan,joshua57@example.org,614.730.7267x433,Social Media,Contacted
657790,252939,Christine,Moore,fpadilla@example.com,001-423-903-3030x91057,Referral,Qualified
661774,165302,Pamela,Thornton,jason57@example.net,+1-285-604-3427x75578,Website,Qualified
272099,822053,Christopher,Smith,dgreen@example.net,001-648-217-8193x065,Direct Mail,Converted
953389,628735,Joseph,Rodriguez,stefanie21@example.net,873-374-6752x46842,Social Media,New
649188,229702,Karen,Allen,jasonanderson@example.org,7682286635,Website,Contacted
536029,277844,Kevin,Hansen,michellepotter@example.net,655-798-0063x507,Email Campaign,Converted
482938,962210,Darren,Miller,rlee@example.com,450-734-1437,Social Media,Qualified
270203,337737,Jennifer,Jones,darleneescobar@example.org,+1-879-259-9190x81965,Social Media,Closed
568406,145416,Alec,Hernandez,kimstephanie@example.org,684-235-9397x50891,Direct Mail,Converted
105075,126751,Casey,Kelly,judithcruz@example.org,281-399-1860x543,Social Media,New
404775,974075,Kenneth,Montes,belltaylor@example.com,001-235-949-4019x879,Website,Contacted
348094,699691,Jamie,Taylor,erin31@example.com,260-951-9253,Direct Mail,Qualified
793691,785549,Eric,Davis,zanderson@example.org,001-434-546-8255,Direct Mail,Contacted
127000,408791,Felicia,Herring,anthonywilliams@example.com,+1-509-382-4536,Social Media,Converted
413252,882338,Patricia,Fuller,xmiller@example.org,+1-623-268-6592,Social Media,Contacted
462076,760076,Amber,Ellis,cynthia24@example.net,6676709439,Referral,Contacted
910242,172267,Madison,Lopez,lisabutler@example.org,804-576-8581x32382,Website,Converted
351664,641312,John,Lane,courtneymaddox@example.com,+1-614-274-4458x789,Referral,Contacted
135161,743893,Elizabeth,Walker,jenniferosborn@example.net,001-761-335-7644x591,Email Campaign,Closed
479820,524947,Brandon,Sanchez,andrew38@example.net,(645)888-8585x69526,Social Media,New
500091,705781,Matthew,Lopez,amandafarmer@example.net,386-753-4804,Email Campaign,Qualified
274282,453977,Jennifer,White,deborah23@example.com,452-850-0961x504,Direct Mail,Converted
177228,667743,Robert,Hester,cervantesamanda@example.com,857-895-7845x0032,Direct Mail,Converted
437777,880153,Patrick,Marshall,fmorrison@example.com,674.424.8357x0713,Email Campaign,New
614234,348447,Trevor,West,vnoble@example.com,236.492.6516x795,Email Campaign,New
539081,744470,Paige,Richard,connorwalker@example.net,395.981.2470,Website,Converted
377604,500633,Alexandra,Richard,pamela35@example.org,(913)390-2151,Direct Mail,New
350663,483942,Derek,Thompson,christine41@example.net,+1-821-610-4591x687,Email Campaign,Contacted
273099,286170,Richard,Barrett,rothanthony@example.com,+1-809-659-8048x9505,Email Campaign,Contacted
220681,296243,Tonya,Greene,erinibarra@example.com,+1-291-882-2891,Email Campaign,New
836721,605588,Victoria,Johnson,mark44@example.com,001-386-382-2644,Social Media,Closed
629819,745389,Jacqueline,Lopez,andrewstewart@example.net,(306)255-8242,Social Media,New
863155,617238,James,Dickson,jasmine78@example.org,982-644-2428x8909,Email Campaign,Qualified
872063,947185,Rachel,Williams,hrobinson@example.com,001-266-752-3300x3997,Social Media,Qualified
375643,540571,Alexis,Brown,hayesbrian@example.org,271-721-0973x184,Website,Closed
565715,134983,Tracey,Price,yware@example.com,536.982.0759x946,Email Campaign,Contacted
801620,177295,Zachary,Reyes,jasontaylor@example.com,001-943-866-7913,Referral,Closed
680290,636123,Thomas,Kelly,yangbrandon@example.com,842.743.5356x3966,Direct Mail,Converted
784876,236650,Stephanie,Garcia,brandon65@example.org,(222)385-3276x81020,Social Media,Qualified
428121,282906,Todd,Stewart,john91@example.net,+1-591-775-6606,Direct Mail,Closed
969195,611132,Nina,Bowen,lynnchristian@example.com,613.201.0981x846,Social Media,Closed
587512,608970,Hannah,Calderon,sheparddouglas@example.com,+1-554-819-8661,Social Media,Contacted
611584,974077,Brittney,Martinez,pacejoyce@example.org,743.611.8961x8461,Direct Mail,Qualified
903765,504221,Kelli,Evans,phernandez@example.com,208-679-7661,Social Media,Qualified
887508,533376,Thomas,Morrison,brandonjones@example.net,001-834-266-3174,Social Media,New
780553,614103,Steve,Dickerson,vaughnmark@example.org,801-543-7731x5821,Email Campaign,Converted
481314,903972,Suzanne,Young,cconrad@example.net,553-214-5138x0995,Website,Closed
832914,361219,Jeffrey,Huber,lisaknight@example.org,221.604.7594,Referral,Closed
957674,243818,Shelby,Henson,gonzalezpaul@example.net,001-915-764-3750x57937,Social Media,Converted
411422,764209,David,Lewis,melissa07@example.org,+1-821-577-9485,Email Campaign,Closed
188055,384927,Christina,Rivera,maureen56@example.com,6445871850,Website,Converted
564752,560811,Sarah,Richmond,fitzpatrickamanda@example.com,+1-871-242-3500x92186,Referral,Converted
993779,454732,Ricardo,Smith,parkgary@example.org,(842)634-1898x5350,Direct Mail,Contacted
890557,945258,Kelly,Gutierrez,nicholas37@example.org,393-408-0007,Social Media,Contacted
473035,834877,Richard,Jordan,alisonmclaughlin@example.net,001-573-377-9297x9517,Website,Converted
414373,839999,Jacob,Sutton,sergiobennett@example.com,865-805-2173x60223,Website,Converted
