CustomerID,FirstName,LastName,Email,PhoneNumber,Address,City,State,ZipCode,Country
825753,Rebecca,Castillo,hfrancis@example.net,9128256163,"909 Clifford Cliffs Apt. 449, West Ronald, AZ 94307",Port Brendantown,New Mexico,37605,Niue
256078,Megan,Bennett,jacobwhite@example.net,(742)859-0842,"389 Andrea Field, Diazchester, MO 26153",Reynoldsview,Oregon,35123,Italy
240720,Amy,Cook,gbray@example.net,793.388.7784x5524,"820 Ryan Canyon, Kaiserstad, UT 33008",Port Hannah,Maine,32223,Anguilla
473874,Paul,Taylor,rivasjohn@example.com,+1-696-558-0616x56949,"052 Derek Pike Apt. 465, Lake Lorrainehaven, GA 10206",Whitneyview,Kentucky,81577,Malawi
924560,Nathan,Garcia,weaverbrenda@example.net,(864)766-9377,"405 Carolyn Fall Suite 316, South Gregoryport, PR 37327",New Carmenville,North Dakota,17234,Czech Republic
338296,Tyler,Nguyen,brendawilson@example.com,454.977.1746x9204,"94779 Brown Forest Suite 624, West Brianfurt, NC 02382",Port Amandaberg,Oregon,08436,Iran
759459,Nicole,Cook,zachary92@example.org,8636388787,"USCGC Mullins, FPO AE 79978",Raymondborough,New Jersey,68462,Canada
650553,Elizabeth,Martinez,williamsdorothy@example.com,6684111997,"60880 Hernandez Loaf, New Lisa, DC 34712",Josephmouth,Alaska,97494,Albania
851114,John,Miller,davidpayne@example.com,328.329.9121x16622,"343 Leslie Turnpike, Jesustown, NE 93920",New Lindsey,Vermont,92895,Antarctica (the territory South of 60 deg S)
358509,Gregory,Rivera,curtis42@example.net,001-644-469-3763x976,"50820 Steve Stravenue, Jillmouth, PR 40154",Lake Rebecca,Montana,98546,Montserrat
444083,Charles,Ferguson,traciblanchard@example.com,+1-340-722-0279x385,"7427 Zavala Village, Millermouth, FM 18899",Wrightville,Idaho,37233,French Polynesia
946801,Bryan,Davis,wolfegina@example.org,(639)806-5986,"098 Marsh Village Apt. 187, North Michaelstad, NM 79422",Lake Kylestad,Connecticut,47168,British Virgin Islands
464441,Carlos,Davis,ysullivan@example.net,(487)487-6087,"Unit 3894 Box 6734, DPO AA 42668",Villanuevaland,Maryland,87691,Dominica
553358,Lisa,Browning,elizabethgreen@example.org,453-519-9026x88012,"Unit 5668 Box 7841, DPO AE 63849",South Kimberlyland,Kentucky,77709,Croatia
659012,Shelby,Wolfe,toddsanchez@example.net,+1-332-226-0501x416,"USNS Richards, FPO AA 98172",Port Jon,California,59699,Guatemala
688153,Timothy,Gonzalez,davidcochran@example.com,(287)548-1732,"21460 Eric Lodge, Melissamouth, GA 21992",Savannahshire,Washington,65445,Hong Kong
182194,Eric,Perry,fisherjames@example.net,309.250.9689x26154,"4695 Cochran Wells, Tylerfurt, PR 56060",Port Daniellechester,New Hampshire,87074,Wallis and Futuna
750300,Brandon,Jones,kquinn@example.com,(836)758-4023x194,"65565 Cruz Rapid, West Johnhaven, NY 27594",West Melissaville,Virginia,92187,Cuba
299015,Brandon,Garcia,krista07@example.net,(669)554-3532x468,"8761 Carrillo Trail Suite 082, Connieshire, AK 14479",New Cynthialand,Kansas,37085,Kiribati
796604,Anthony,Ellison,johnsoncathy@example.org,(977)418-9575,"467 Joseph Ramp Suite 572, Woodside, DE 27878",Hartville,Rhode Island,81384,Burkina Faso
427509,Michael,Grimes,gcarrillo@example.com,+1-541-333-8663x263,"3978 Morris Lodge Apt. 109, Evansfort, CT 15054",Elizabethside,New Jersey,93272,Northern Mariana Islands
660914,Cindy,Hunt,ebonygriffith@example.net,616.535.1379,"893 Davidson Mills, South Brendafurt, MN 67803",Mcintyreberg,Arkansas,37539,Sri Lanka
618862,Casey,Day,bethany10@example.com,492.465.0250x83680,"40689 Wilcox Lane, Davishaven, IL 86082",Nicolefurt,New Hampshire,77572,Ecuador
386578,Phillip,Carter,adamhanson@example.net,642.281.8728x46071,"47402 Miller Mountains, Marshallchester, MO 90731",Tannermouth,South Dakota,75727,Chad
653385,Brittany,Bennett,dlloyd@example.com,+1-789-604-3150x84096,"2629 Robin Cape Suite 230, North Kellie, SC 15768",North Shawnton,Arizona,05327,Singapore
893293,Erin,Hill,michaelpitts@example.net,001-910-634-8657x76489,"543 Brock Plaza, Port Shannon, ND 22585",Coxport,North Carolina,81733,Peru
476251,Anthony,Bailey,moralesearl@example.net,001-779-938-9768x4145,"976 Brittany Freeway Suite 456, South Bryan, UT 78673",New Virginia,Vermont,41652,Christmas Island
