EmployeeID,FirstName,LastName,DOB,Gender,Department,HireDate,Salary,Email,PhoneNumber
764873,Dorothy,Carey,1964-12-05,M,Finance,2017-04-04,74931.77,thomas15@example.net,266.451.7284x892
715021,Tiffany,Cox,1965-06-02,F,IT,2017-03-11,131089.91,ballardkimberly@example.net,380-533-0349x4050
528909,Brian,Ferguson,1985-11-25,M,Marketing,2012-05-08,104633.92,shawn69@example.com,879.420.7183x833
187308,Russell,Johnston,1976-10-23,F,Support,2013-03-10,64519.87,gabrielle57@example.net,926-432-0079
110353,Anna,Rodriguez,1984-02-03,M,Sales,2017-02-15,99639.05,ndavis@example.com,(841)907-6184x452
156647,Jasmine,Collins,1997-01-14,F,Finance,2022-03-06,88699.03,julia38@example.net,7966931830
910417,Ralph,Randolph,1961-04-16,M,Marketing,2010-01-25,122121.01,roseelizabeth@example.org,(907)630-5593x7345
254763,Stephen,Anderson,1990-07-24,F,Sales,2017-06-28,145966.44,gfox@example.net,9293487457
275922,Michael,Moore,1982-06-27,F,IT,2018-08-30,68774.96,daniel89@example.org,334.644.1826
303208,Justin,Hunter,1961-03-11,F,Finance,2014-02-02,138346.07,smithnathan@example.org,(900)527-1118
156765,Albert,Blake,1971-03-05,F,Marketing,2017-04-07,53379.83,stephencummings@example.com,(256)999-0085x31027
645865,Tara,Hall,2001-05-25,F,Sales,2020-07-07,93208.84,rwright@example.net,+1-886-830-7489x101
377625,David,Cruz,1996-10-21,M,Support,2014-07-08,111219.17,brownbrittany@example.org,859-486-3564x5388
482754,Dawn,Valenzuela,1993-08-22,M,Marketing,2019-08-15,124522.0,tanya08@example.net,969-384-2076x95084
369504,Matthew,Fernandez,1980-07-17,F,IT,2019-05-16,137043.75,robertbailey@example.net,892.998.1064x306
122027,Christian,Oneal,1960-06-21,F,Finance,2012-06-14,78110.04,denisecampbell@example.org,659.468.8452x9032
266965,Jonathan,Lawson,1967-10-09,F,Sales,2013-02-02,103415.63,evansjames@example.net,+1-281-378-1989
157030,Daniel,Levy,1995-10-18,F,IT,2011-01-04,93149.7,hendersonjason@example.net,+1-913-787-6511x021
224804,Caleb,Shea,1974-11-14,M,Sales,2018-01-28,71659.74,oreed@example.com,+1-859-474-3573
109891,Jeffrey,Anderson,1974-03-17,F,HR,2014-08-22,102722.33,cjackson@example.net,+1-728-624-7266x619
683296,William,Benton,1980-02-02,M,IT,2013-04-07,118749.94,ashleyjohnson@example.com,(635)253-5943x57042
902616,Michelle,Olson,1971-02-21,F,HR,2015-08-18,93917.35,fordjennifer@example.net,001-419-267-8052x3619
803590,Eric,Norris,1999-09-19,M,Sales,2020-05-08,147568.12,mmorton@example.net,705.315.2896x3757
175358,Jose,Thompson,1998-03-10,F,Sales,2010-03-02,59800.78,millerlisa@example.net,4995004895
464678,Troy,Walker,2001-12-27,M,Sales,2012-08-25,108670.37,vross@example.net,001-204-531-1666x9955
511326,James,Peters,1960-12-17,F,Support,2014-04-26,91182.27,munozdanielle@example.com,(421)979-0994x260
380003,Matthew,Padilla,1961-04-16,F,Finance,2018-10-21,123065.42,ehiggins@example.org,517.820.1534
259928,Courtney,Jones,1971-09-25,F,IT,2015-12-18,138429.25,lgoodman@example.net,+1-592-521-7676
597259,Brandon,Hobbs,1960-08-28,M,Finance,2023-07-06,63314.13,sanderswhitney@example.org,+1-269-324-5608x9415
928804,Melissa,Malone,1984-06-23,M,Support,2012-10-13,114488.17,logan34@example.com,559-436-4052
729184,Christian,Wright,1985-04-13,F,Finance,2015-05-07,142110.08,brenda25@example.com,287.271.5037x94132
411641,Courtney,Patterson,1974-09-16,F,HR,2019-12-09,107161.21,jacksonjoshua@example.com,001-948-495-9957x35527
988476,Richard,King,1959-04-06,F,Sales,2021-06-05,136935.55,mary85@example.com,346-648-0115x97486
520471,John,Gregory,1986-03-29,M,HR,2010-12-21,132513.04,sanchezcharles@example.net,3959578878
364559,Betty,Wilson,1998-11-15,M,Finance,2021-02-09,77521.27,pdeleon@example.com,(797)454-2798x61924
526163,Dustin,Smith,1989-07-20,F,Sales,2012-12-18,136943.9,vallen@example.org,673.544.6163x109
866503,Christopher,Tucker,1983-07-24,M,Sales,2024-05-01,83888.55,kristenmyers@example.net,4723390596
394146,Larry,Simmons,1959-05-15,M,Marketing,2015-04-07,106944.36,weberkaren@example.com,328-356-2455x576
786093,Amy,Francis,1978-06-17,M,IT,2015-08-14,106267.6,thomas55@example.net,(713)923-0488
576436,Russell,Powell,1979-09-04,F,HR,2023-01-21,101223.51,wsmith@example.org,+1-578-939-7228x322
727595,Steven,Potts,1977-06-10,M,Finance,2011-11-21,77911.07,tashaperez@example.com,+1-259-328-5587
794746,Michael,Bell,1969-05-26,M,Marketing,2011-05-18,92579.43,fsmith@example.com,380.492.7699
389241,Natalie,Meza,1966-02-01,M,Sales,2016-01-30,146879.15,wallsdebra@example.org,476.760.4281
243685,Charles,Moss,1970-12-15,F,Support,2022-12-11,50769.71,ntaylor@example.net,(345)757-4600x418
994329,Amanda,Martin,1972-12-28,F,IT,2024-04-01,120692.24,troygarrison@example.com,+1-527-849-7769x44270
778089,Joseph,Hawkins,1965-01-12,F,Finance,2017-05-11,106080.74,misty16@example.net,+1-703-577-2103x95526
514864,Cynthia,Rogers,1990-06-28,M,Finance,2010-05-09,120635.75,villarrealsteven@example.org,(836)947-0978x21286
398710,Christine,Spencer,1981-10-09,M,IT,2016-01-24,104824.21,jessica38@example.com,001-711-958-4965x546
235799,Jennifer,Boyd,2000-03-02,M,IT,2020-02-08,73086.27,gonzaleswilliam@example.org,868.487.8650x5012
310054,John,Shaffer,1974-07-12,M,HR,2011-07-21,99202.67,odaniel@example.com,936.819.0712
431946,Jasmin,Moody,1999-11-05,M,IT,2011-03-17,75310.76,angela37@example.com,+1-512-235-6512x84427
296823,Paul,Blackburn,1997-03-06,M,Sales,2020-07-11,127684.61,jacobmartinez@example.net,001-921-643-2383x7527
177245,Raymond,Wilson,1977-03-02,M,Sales,2021-10-12,133138.35,farrellbrian@example.com,870-340-3788x852
587807,Ashlee,Meyers,1973-01-26,F,Marketing,2020-12-28,137224.17,xvelez@example.org,001-307-843-7030x6011
385194,Eugene,Macdonald,1966-05-06,M,Support,2023-02-27,110852.9,gary80@example.org,682-776-7638
339229,Dawn,Moore,1961-03-03,F,Sales,2011-09-11,89680.23,allenlee@example.net,239-239-3370x85608
219508,Amy,Key,1966-12-09,M,Marketing,2023-01-07,76150.68,tracy54@example.net,001-628-232-1280
474455,Melissa,Rodgers,1987-02-16,M,Marketing,2022-01-18,102429.03,qhernandez@example.org,621-690-0783x59153
216586,James,Sanders,1977-02-11,F,Finance,2018-03-24,101752.42,tconway@example.org,247-952-7556
403417,Karen,Lee,1997-09-29,M,HR,2020-04-10,71449.59,drodriguez@example.org,(718)328-9901x373
404749,Jacob,Daniel,1970-03-10,M,IT,2022-08-02,89960.18,fletchereduardo@example.org,+1-282-991-6469x4869
477199,Lauren,Jenkins,1984-02-21,M,Marketing,2017-02-11,74361.79,marioluna@example.com,892.515.2011
326284,Melissa,Baker,1968-05-09,M,IT,2012-07-03,71323.86,sarahshaffer@example.org,7073718849
109478,Robert,Knight,1983-07-19,M,Sales,2011-10-12,64365.06,riveraaaron@example.net,+1-331-648-2673
183093,Robert,Montoya,1962-05-12,F,Marketing,2012-12-08,115500.54,richard37@example.org,512.433.1547x64107
875321,Christopher,Wolfe,1980-07-21,M,HR,2019-01-24,146195.62,nicholas92@example.net,+1-983-710-2415x66513
239147,Wendy,Thompson,1963-01-16,F,HR,2015-04-05,103333.96,tanyachristensen@example.org,(747)530-0495x559
852730,Logan,Duncan,1986-03-27,M,IT,2010-04-18,57653.72,fitzpatrickmary@example.net,(783)573-9534
315792,Anthony,Sharp,1992-07-10,F,HR,2016-01-19,57063.27,woodsjulie@example.net,383.200.4925x25492
145525,Pamela,Hendricks,1992-08-19,F,IT,2022-08-09,147881.58,lorilyons@example.com,+1-831-526-6056x54266
